CVEGEO,suelo_arcilloso,suelo_arenoso,suelo_fertil,suelo_limitado,nomestado
14004,0.0,2.230077220579378,97.76992277942061,0.0,JALISCO
14005,0.0,0.0,100.0,0.0,JALISCO
14006,0.0,0.0,100.0,0.0,JALISCO
14007,0.0,0.0,100.0,0.0,JALISCO
14008,0.0,0.0,99.99999999999999,0.0,JALISCO
14009,0.0,0.0,100.0,0.0,JALISCO
14010,0.0,53.03507370204328,46.96492629795673,0.0,JALISCO
14011,0.0,12.999495977511586,87.0005040224884,0.0,JALISCO
14012,0.0,100.0,0.0,0.0,JALISCO
14013,36.18392735714122,0.0,63.816072642858785,0.0,JALISCO
14014,3.8600822643733195,0.0,96.13991773562668,0.0,JALISCO
14015,0.0,34.441254785808155,65.55874521419184,0.0,JALISCO
14016,26.822169708799365,0.0,73.17783029120064,0.0,JALISCO
14017,0.0,64.6689998109976,35.33100018900239,0.0,JALISCO
14018,100.0,0.0,0.0,0.0,JALISCO
14019,0.0,2.0547386155400376,97.94526138445998,0.0,JALISCO
14020,0.0,12.157900322549086,87.84209967745092,0.0,JALISCO
14021,0.0,95.37909622911927,4.620903770880746,0.0,JALISCO
14022,0.0,100.0,0.0,0.0,JALISCO
14023,0.0,10.291876955994821,89.70812304400518,0.0,JALISCO
14024,0.0,0.0,100.0,0.0,JALISCO
14025,0.0,0.0,84.47692709230932,0.0,JALISCO
14026,94.85903951414008,0.0,5.140960485859916,0.0,JALISCO
14027,0.0,100.0,0.0,0.0,JALISCO
14028,0.0,75.24297046074305,24.75702953925695,0.0,JALISCO
14029,0.0,0.0,100.0,0.0,JALISCO
14030,61.42672141207582,0.0,38.57327858792418,0.0,JALISCO
14031,0.0,0.0,100.0,0.0,JALISCO
14032,0.0,100.0,0.0,0.0,JALISCO
14033,20.912356490554792,0.0,79.0876435094452,0.0,JALISCO
14034,0.0,60.71276464709501,39.287235352904986,0.0,JALISCO
14035,97.46411945666648,0.0,0.0,2.535880543333518,JALISCO
14036,0.0,0.0,100.0,0.0,JALISCO
14037,0.0,15.12551713793843,84.87448286206157,0.0,JALISCO
14038,0.0,66.87246039235231,33.12753960764769,0.0,JALISCO
14040,0.0,0.0,100.0,0.0,JALISCO
14041,0.0,0.0,25.351219645414364,0.0,JALISCO
14042,0.0,0.0,100.0,0.0,JALISCO
14043,0.0,100.0,0.0,0.0,JALISCO
14044,0.0,0.0,100.0,0.0,JALISCO
